canonical_configuration_id,row_count,unique_technical_signatures,unique_package_contexts,identity_status
CFG731_24a273924830834b,1,1,1,UNIQUE_ROW
CFG731_24a2c6ef94654845,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_24b3128196e55c23,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_2508e54db960a3b8,1,1,1,UNIQUE_ROW
CFG731_25171d8a9fc94ccc,1,1,1,UNIQUE_ROW
CFG731_256f254632c47939,1,1,1,UNIQUE_ROW
CFG731_25765da4bfc4a3b0,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_257fecba9143d12f,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_258498329a834b05,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_2590cdb37d481b9a,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_25b84d9ab233c6bf,1,1,1,UNIQUE_ROW
CFG731_25c733523f45b8a2,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_25f80262f61e7497,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_260c36430f7c2d03,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_2610e273bed6705c,1,1,1,UNIQUE_ROW
CFG731_2611c05bb2e3d229,1,1,1,UNIQUE_ROW
CFG731_265337e27ab1207c,1,1,1,UNIQUE_ROW
CFG731_26554ff79bcf8a3f,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_2666da4dbcc5e5bd,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2683cf7e09782f5e,6,1,1,EXACT_DUPLICATE_ROWS
CFG731_2686ab8bb7012e53,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2688c6c5fd11ba8e,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_2692d4e8945eb6ee,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_26a55fc6510692e1,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_26c190a4dc461550,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_27279ceeaa7fc1fe,1,1,1,UNIQUE_ROW
CFG731_274085596a46ecf6,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_27481a3518f630c6,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_27a6a5d76bec9515,1,1,1,UNIQUE_ROW
CFG731_27b6b45b43224be7,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_27bb9f530dcb688a,1,1,1,UNIQUE_ROW
CFG731_27caf5a2443603ad,1,1,1,UNIQUE_ROW
CFG731_27ea251c0fb03f20,1,1,1,UNIQUE_ROW
CFG731_27ec8892eacc701d,1,1,1,UNIQUE_ROW
CFG731_27f3f9fc0b2e1643,1,1,1,UNIQUE_ROW
CFG731_28454766bbc80cb9,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_288e4c99b4e02895,8,1,1,EXACT_DUPLICATE_ROWS
CFG731_28ac43a93658ad6b,1,1,1,UNIQUE_ROW
CFG731_28d2bbb55fd5f40c,1,1,1,UNIQUE_ROW
CFG731_28d91a700ee0ddc0,1,1,1,UNIQUE_ROW
CFG731_28ed390fb80cb66f,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_28ff10770eb1b643,4,1,1,EXACT_DUPLICATE_ROWS
