canonical_configuration_id,row_count,duplicate_rows
CFG731_c41fd04f9eea78e7,3,2
CFG731_214b093bf98ca9ef,3,2
CFG731_f4e7010207bfdfc0,3,2
CFG731_cc0572630b0848e7,3,2
CFG731_516629085c122a4e,3,2
CFG731_557eff71f11cfc98,3,2
CFG731_5ae746dac49a854b,3,2
CFG731_deb3d65220135a9e,3,2
CFG731_3df9fddf845f3508,3,2
CFG731_a633b8dd2d541170,3,2
CFG731_c8eae76935f62f46,3,2
CFG731_2e57977cf2dd500a,3,2
CFG731_ede0b25f5f83644d,3,2
CFG731_04bb9195f752ca8c,3,2
CFG731_af5b0ebc51685059,3,2
CFG731_dc7c891c14ea05d8,3,2
CFG731_1123bef3c890d293,3,2
CFG731_b83ac25dbd4e47ee,3,2
CFG731_59f11353d30c03ee,3,2
CFG731_6d44172bc82c7ed7,3,2
CFG731_af755e9c46cfadd4,3,2
CFG731_8a7a801f91254eeb,3,2
CFG731_6f04889a74b0dabc,3,2
CFG731_3dd4cfcf6ee98460,3,2
CFG731_92fbdd06b7923fc1,3,2
CFG731_c517a14f9cf12c39,3,2
CFG731_fa50e8a725c751e0,3,2
CFG731_77dd17c48f15826c,3,2
CFG731_67751271582e3c57,3,2
CFG731_8b9239fd1c516750,3,2
CFG731_d71a39e1fcf17083,3,2
CFG731_a8ddc520c2e666f7,3,2
CFG731_33d5b52db510e046,3,2
CFG731_a7a446c7f3b3183f,3,2
CFG731_038da5d3a7dc468b,3,2
CFG731_5d345c0f49f6f272,3,2
CFG731_164e84569c2cee64,3,2
CFG731_2692d4e8945eb6ee,3,2
CFG731_9be0c5ce20280448,3,2
CFG731_077cd264a0313a47,3,2
CFG731_4fe142d593643ab8,3,2
CFG731_bddb4195ad08d693,3,2
CFG731_7b80fca32fdc0db0,3,2
CFG731_edb24692d2d3d7ca,3,2
CFG731_00e033bb831be6d5,3,2
CFG731_bdfa7cd2dbcb13f7,3,2
CFG731_a93ee7be2372dea3,3,2
CFG731_ad49f2ad57627f46,3,2
CFG731_b187fb9ad3627171,3,2
CFG731_eb61aaa216c2435b,3,2
CFG731_5331dc313830f4cb,3,2
CFG731_4ac0ef69f4678c8b,3,2
CFG731_8c4d7fb3ded028ab,3,2
CFG731_33c8c685d7c8530a,3,2
CFG731_9a659fd01cd1d239,3,2
CFG731_8f470181ad32eeae,3,2
CFG731_ad672c682712eda8,3,2
CFG731_f2a296f2bedae0e8,3,2
CFG731_1b5b895b5e259903,3,2
CFG731_ff5d8da56ff22796,3,2
CFG731_831a7150258499af,3,2
CFG731_17dba025c91c278d,3,2
CFG731_d47fa87df22e968e,3,2
CFG731_50a4a25852666336,3,2
CFG731_8c50542218db5cb0,3,2
CFG731_563ef0dc6253e3f7,3,2
CFG731_d982a98f914f0a87,3,2
CFG731_2d0a81ff4ec49480,3,2
CFG731_e3b7a52ea0694eb1,3,2
CFG731_b418359232bf5862,3,2
CFG731_f7e6eb169c92689f,3,2
CFG731_7afa5501026394f9,3,2
CFG731_daff07a8bdec497b,3,2
CFG731_d3ce57e5727e1d4a,3,2
CFG731_00f08838a21d3799,3,2
CFG731_9a5bfa9148a9b604,3,2
CFG731_ae4ea28b1eaeb3df,3,2
CFG731_a48cbb33873bda1b,3,2
CFG731_0494d5ae6eecf400,3,2
CFG731_d3944f427f0609b6,3,2
CFG731_deb6c547366eb132,3,2
CFG731_cd4f211fbf872f2e,3,2
CFG731_a20b10157efccecb,3,2
CFG731_26c190a4dc461550,3,2
CFG731_352cbd30ecacb8ee,3,2
CFG731_b4f65e97f91c3587,3,2
CFG731_79a3938f47d28a2e,3,2
CFG731_a4038243bb1e609e,3,2
CFG731_6fae22c89116fc5e,3,2
CFG731_3e782f59368b40db,3,2
CFG731_5d255cf6dd296018,3,2
CFG731_440f9c9b032b7d0a,3,2
CFG731_32a4bb12438a37ab,3,2
CFG731_f4e451f0b68379ff,3,2
CFG731_031d8f2fe50bf3d1,3,2
CFG731_b7e96d5717c40fd6,3,2
CFG731_565e3731063ff5c5,3,2
CFG731_845802fc60449063,3,2
CFG731_768ac37f143197ac,3,2
CFG731_6513d2f5c85df9e4,3,2
CFG731_f87794e7a98d0b11,3,2
CFG731_70aa5a64b0803277,3,2
CFG731_6920f76e20b3b3ac,3,2
CFG731_97796c9ac2811c94,3,2
CFG731_0c05dd0ad4f3894a,3,2
CFG731_0b33555ff08fcd28,3,2
CFG731_b1531976c0d80b4a,3,2
CFG731_1d59f25068204b01,3,2
CFG731_afa90db347a19822,3,2
CFG731_bce3dde932972950,3,2
CFG731_36e9436664c2e1e3,3,2
CFG731_ebf26b0112810ef9,3,2
CFG731_6e096e946540ab4e,3,2
CFG731_c563d973b2fc136b,3,2
CFG731_d9ddb62ada93458f,3,2
CFG731_1d3bf6638fef70ae,3,2
CFG731_695e540255cc94da,3,2
CFG731_2c93609b74717303,3,2
CFG731_b1993800646f7cb3,3,2
CFG731_de32c30417f0baf1,3,2
CFG731_e80085d86d0bbfa9,3,2
CFG731_9e1cb28372f6bf0e,3,2
CFG731_5f2fdad66cde083e,3,2
CFG731_85b1e9bcb8b0b8be,3,2
CFG731_63b50b6b631946e6,3,2
CFG731_88a813121973f952,3,2
CFG731_d9234c84a58b99ae,3,2
CFG731_fbf2539ea471ea5b,3,2
CFG731_8634a8a0a780401d,3,2
CFG731_7d4c803343a40a05,3,2
CFG731_3c4babe78beeb112,3,2
CFG731_5e037d5a44e366b4,3,2
CFG731_cd227defeca312c8,3,2
CFG731_ba17ab216ae91e1a,3,2
CFG731_e9d0b2e8adb3aa6d,3,2
CFG731_7d1aac31230162fc,3,2
CFG731_3d3b1ab589678df9,3,2
CFG731_7c93880f0c6b22c5,3,2
CFG731_bcec8ceac2dbcc79,3,2
CFG731_a385518a9f31baa0,3,2
CFG731_a6d4830ed3aa2681,3,2
CFG731_5718ef9495972b30,3,2
CFG731_a5e5e12c08e4e838,3,2
CFG731_e4891d6f45902e22,3,2
CFG731_5619990314e85743,3,2
CFG731_b1693ef6b18686ac,3,2
CFG731_b92916814fce7b8e,3,2
CFG731_09db81b4dee54f57,3,2
CFG731_36c553adc9f5ebf3,3,2
CFG731_b65f8c1aefa2a95b,3,2
CFG731_b36f487da5008df2,3,2
CFG731_de503c5e46490150,3,2
CFG731_7113759c5b95914d,3,2
CFG731_cb1aeeb79876dd06,3,2
CFG731_11a99741e1f7cce9,3,2
CFG731_d723355141502003,3,2
CFG731_24a2c6ef94654845,3,2
CFG731_fb1ab4b34e9c8a75,3,2
CFG731_d8083f6bcc90dd07,3,2
CFG731_95e2d680672ff303,3,2
CFG731_2666da4dbcc5e5bd,3,2
CFG731_db983e07a279051a,3,2
CFG731_c4bcee3a1477eeea,3,2
CFG731_d27f5f5f307014a8,3,2
CFG731_2d4ebd2132481193,3,2
CFG731_b5a071e920590337,3,2
CFG731_c9829182065e0285,3,2
CFG731_8d7cec9889b28201,3,2
CFG731_6d2ac57f5a8786db,3,2
CFG731_36045858c7c7e468,3,2
CFG731_65b9beb5d5675c99,3,2
CFG731_0ce13abf777d04f9,3,2
CFG731_16b53411ff7f6c9b,3,2
CFG731_d4dafb658c85c692,3,2
CFG731_c52b9598a8210777,3,2
CFG731_747411fe70ba8e8d,2,1
CFG731_620cb319c2b7c332,2,1
CFG731_f0cf22354800092d,2,1
CFG731_6f7a5cd92e9a022d,2,1
CFG731_c7ca2f069d01e42d,2,1
CFG731_700e5b0584a9b0fc,2,1
CFG731_226e375c4e7aa2a0,2,1
CFG731_1642db5c21ada469,2,1
CFG731_736d7f6d47393e47,2,1
CFG731_5c624ef6fa2b6510,2,1
CFG731_12089d5d54f581ac,2,1
CFG731_27b6b45b43224be7,2,1
CFG731_9eed4a2d2e84d134,2,1
CFG731_e5a85c19cf4647dd,2,1
CFG731_2a8793475d827bb6,2,1
CFG731_4e7f75dd9496e7b1,2,1
CFG731_9fa436b39059149d,2,1
CFG731_47bb86ed234fd5e6,2,1
CFG731_3ebdd541d6efe614,2,1
CFG731_663e1e93ec389f08,2,1
CFG731_9d7b1c7fdce88cb4,2,1
CFG731_6bdadac99b2f7b39,2,1
