rfq_id,candidate_count,top_score,top_mandatory_coverage,top_preferred_coverage,top_overall_coverage,top_exact_count,top_contradiction_count,top_novalue_count,true_rank,mode,package_aware
RFQ731-004852,5000,33.69427492367856,0.8479046220335037,1.0,0.7857142857142857,11,2,1,1,V8_EXTRACTED,False
RFQ731-004853,5000,27.889376833942098,0.8506468721917151,1.0,0.8461538461538461,11,1,1,3,V8_EXTRACTED,False
RFQ731-004854,5000,26.766915764795144,0.8009192015436754,1.0,0.8571428571428571,12,1,1,64,V8_EXTRACTED,False
RFQ731-004855,5000,33.32264062505306,0.8541106973767365,1.0,0.9411764705882353,16,1,0,1,V8_EXTRACTED,False
RFQ731-004856,5000,37.91393083901514,0.8621609352800017,1.0,0.8888888888888888,16,1,1,2,V8_EXTRACTED,False
RFQ731-004857,5000,24.626781295284616,0.8126707945597487,1.0,0.9285714285714286,13,1,0,4,V8_EXTRACTED,False
RFQ731-004858,5000,29.82342315080548,0.9115218089993272,1.0,0.9230769230769231,12,1,0,4,V8_EXTRACTED,False
RFQ731-004859,5000,35.02024044616356,0.8639079597884283,1.0,0.875,14,1,1,34,V8_EXTRACTED,False
RFQ731-004860,5000,33.49190085338919,0.804110278310907,1.0,0.8333333333333334,15,2,1,101,V8_EXTRACTED,False
RFQ731-004861,5000,49.15314510331741,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-004862,5000,32.3159861140558,0.9253945640690103,1.0,0.9285714285714286,13,1,0,3,V8_EXTRACTED,False
RFQ731-004863,5000,33.12799647844374,0.8739800682760058,1.0,0.875,14,1,1,35,V8_EXTRACTED,False
RFQ731-004864,5000,16.229387287768315,0.6664535301109236,1.0,0.8125,13,2,1,21,V8_EXTRACTED,False
RFQ731-004865,5000,25.61525560784291,0.8184203780713575,1.0,0.9333333333333333,14,1,0,1,V8_EXTRACTED,False
RFQ731-004866,5000,40.819857855755586,0.8691235885921526,1.0,0.8947368421052632,17,1,1,4,V8_EXTRACTED,False
RFQ731-004867,5000,32.0993153943065,0.7295593957159132,1.0,0.8666666666666667,13,0,2,17,V8_EXTRACTED,False
RFQ731-004868,5000,20.45598268910557,0.7009266183480887,1.0,0.8333333333333334,15,2,1,4,V8_EXTRACTED,False
RFQ731-004869,5000,43.48621606581593,0.9132912786120574,1.0,0.9411764705882353,16,0,1,1,V8_EXTRACTED,False
RFQ731-004870,5000,30.664553105884696,0.9144393151416427,1.0,0.9285714285714286,13,1,0,5,V8_EXTRACTED,False
RFQ731-004871,5000,34.23403702042677,0.8436751690907426,1.0,0.8888888888888888,16,1,1,30,V8_EXTRACTED,False
RFQ731-004872,5000,35.47005210472584,0.8351413487185949,1.0,0.8823529411764706,15,1,1,38,V8_EXTRACTED,False
RFQ731-004873,5000,43.409065380339285,1.0,1.0,1.0,15,0,0,3,V8_EXTRACTED,False
RFQ731-004874,5000,35.077783854938545,1.0,1.0,1.0,12,0,0,11,V8_EXTRACTED,False
RFQ731-004875,5000,29.24769601176205,0.9093678331372103,1.0,0.9230769230769231,12,1,0,6,V8_EXTRACTED,False
RFQ731-004876,5000,33.7413320250484,0.8812587546121747,1.0,0.9285714285714286,13,0,1,5,V8_EXTRACTED,False
RFQ731-004877,5000,21.51872511305413,0.7270959937634923,1.0,0.8666666666666667,13,1,1,67,V8_EXTRACTED,False
RFQ731-004878,5000,36.00094671618714,0.9356616025167356,1.0,0.9333333333333333,14,0,1,33,V8_EXTRACTED,False
RFQ731-004879,5000,27.934690881495083,0.9040542903665315,1.0,0.9230769230769231,12,1,0,1,V8_EXTRACTED,False
RFQ731-004880,5000,23.864114292468656,0.8349611377090365,1.0,0.8333333333333334,10,2,0,41,V8_EXTRACTED,False
RFQ731-004881,5000,31.22819402747394,0.764218748162289,1.0,0.875,14,1,1,3,V8_EXTRACTED,False
RFQ731-004882,5000,28.530174737102016,1.0,1.0,1.0,10,0,0,69,V8_EXTRACTED,False
RFQ731-004883,5000,38.00651351819336,1.0,1.0,1.0,15,0,0,2,V8_EXTRACTED,False
RFQ731-004884,5000,38.38304960461058,0.847354721522862,1.0,0.8888888888888888,16,1,1,3,V8_EXTRACTED,False
RFQ731-004885,5000,25.979726022574216,0.9020312155868498,1.0,0.8888888888888888,8,1,0,19,V8_EXTRACTED,False
RFQ731-004886,5000,44.461759464333724,1.0,1.0,1.0,12,0,0,1,V8_EXTRACTED,False
RFQ731-004887,5000,28.71759708930462,0.7757723473479228,1.0,0.875,14,1,1,4,V8_EXTRACTED,False
RFQ731-004888,5000,28.75297551356741,0.9074340901661881,1.0,0.9230769230769231,12,1,0,30,V8_EXTRACTED,False
RFQ731-004889,5000,24.51997164370796,0.8872002648885786,1.0,0.9090909090909091,10,1,0,44,V8_EXTRACTED,False
RFQ731-004890,5000,34.61654737219875,0.8850547747049526,1.0,0.9285714285714286,13,0,1,30,V8_EXTRACTED,False
RFQ731-004891,5000,38.187991024402706,0.9414640345826486,1.0,0.9166666666666666,11,1,0,1,V8_EXTRACTED,False
RFQ731-004892,5000,24.94023244001864,0.8144729791552899,1.0,0.9333333333333333,14,1,0,4,V8_EXTRACTED,False
RFQ731-004893,5000,36.040163392425,0.8906493898347397,1.0,0.9375,15,0,1,14,V8_EXTRACTED,False
RFQ731-004894,5000,29.859788276144435,0.8667568561681454,1.0,0.8666666666666667,13,2,0,55,V8_EXTRACTED,False
RFQ731-004895,5000,36.97341615894446,1.0,1.0,1.0,14,0,0,89,V8_EXTRACTED,False
RFQ731-004896,5000,29.14955804052074,0.9089904868896209,1.0,0.9230769230769231,12,1,0,6,V8_EXTRACTED,False
RFQ731-004897,5000,26.663384621981713,0.824406736680796,1.0,0.9230769230769231,12,1,0,136,V8_EXTRACTED,False
RFQ731-004898,5000,37.084581591205186,0.8945434340208887,1.0,0.9333333333333333,14,0,1,75,V8_EXTRACTED,False
RFQ731-004899,5000,27.821263711469072,0.9035668969755861,1.0,0.9230769230769231,12,1,0,2,V8_EXTRACTED,False
RFQ731-004900,5000,43.81970527683568,1.0,1.0,1.0,16,0,0,5,V8_EXTRACTED,False
RFQ731-004901,5000,27.461214071660834,0.9084358160767418,1.0,0.9166666666666666,11,1,0,63,V8_EXTRACTED,False
RFQ731-004902,5000,47.877081386798395,0.9518389816842244,1.0,0.9285714285714286,13,0,1,1,V8_EXTRACTED,False
RFQ731-004903,5000,36.475380275214036,1.0,1.0,1.0,13,0,0,6,V8_EXTRACTED,False
RFQ731-004904,5000,35.14789027789084,1.0,1.0,1.0,13,0,0,3,V8_EXTRACTED,False
RFQ731-004905,5000,35.366721829253216,1.0,1.0,1.0,13,0,0,6,V8_EXTRACTED,False
RFQ731-004906,5000,34.39624959272726,1.0,1.0,1.0,12,0,0,4,V8_EXTRACTED,False
RFQ731-004907,5000,31.882328891873282,0.9184205284413994,1.0,0.9285714285714286,13,1,0,1,V8_EXTRACTED,False
RFQ731-004908,5000,42.51137404759982,1.0,1.0,1.0,15,0,0,1,V8_EXTRACTED,False
RFQ731-004909,5000,27.29169118303279,0.8276364643787639,1.0,0.9285714285714286,13,1,0,30,V8_EXTRACTED,False
RFQ731-004910,5000,40.51270654515841,1.0,1.0,1.0,16,0,0,3,V8_EXTRACTED,False
RFQ731-004911,5000,22.14590626028655,0.7964596556710669,1.0,0.9230769230769231,12,1,0,18,V8_EXTRACTED,False
RFQ731-004912,5000,29.278059414364744,0.9094209574090313,1.0,0.9285714285714286,13,1,0,11,V8_EXTRACTED,False
RFQ731-004913,5000,21.890627958434614,0.794627940861014,1.0,0.9230769230769231,12,1,0,20,V8_EXTRACTED,False
RFQ731-004914,5000,25.80587388584027,0.8196803243764321,1.0,0.9230769230769231,12,1,0,4,V8_EXTRACTED,False
RFQ731-004915,5000,35.741857892704886,1.0,1.0,1.0,13,0,0,130,V8_EXTRACTED,False
RFQ731-004916,5000,44.88577933521268,1.0,1.0,1.0,16,0,0,234,V8_EXTRACTED,False
RFQ731-004917,5000,27.93051334418073,0.910328730888288,1.0,0.9230769230769231,12,1,0,29,V8_EXTRACTED,False
RFQ731-004918,5000,29.607280044661184,0.8039050025274642,1.0,0.8666666666666667,13,1,1,10,V8_EXTRACTED,False
RFQ731-004919,5000,33.62779844425724,0.92353452726553,1.0,0.9285714285714286,13,1,0,15,V8_EXTRACTED,False
RFQ731-004920,5000,44.811508568028415,0.9163947836237523,1.0,0.9411764705882353,16,0,1,265,V8_EXTRACTED,False
RFQ731-004921,5000,34.877905844250726,1.0,1.0,1.0,12,0,0,119,V8_EXTRACTED,False
RFQ731-004922,5000,30.04157455845204,0.7828793289893137,1.0,0.8823529411764706,15,1,1,1,V8_EXTRACTED,False
RFQ731-004923,5000,41.63552192581527,1.0,1.0,1.0,16,0,0,3,V8_EXTRACTED,False
RFQ731-004924,5000,36.182916062583914,0.9299191881513273,1.0,0.9375,15,1,0,1,V8_EXTRACTED,False
RFQ731-004925,5000,32.67746189557804,0.9290047369464217,1.0,0.9230769230769231,12,0,1,40,V8_EXTRACTED,False
RFQ731-004926,5000,32.20261807216828,0.8761140494540848,1.0,0.875,14,2,0,188,V8_EXTRACTED,False
RFQ731-004927,5000,26.76129119430407,0.8987704748589341,1.0,0.9230769230769231,12,1,0,54,V8_EXTRACTED,False
RFQ731-004928,5000,35.309422011767126,0.887840203094115,1.0,0.9333333333333333,14,0,1,55,V8_EXTRACTED,False
RFQ731-004929,5000,43.318004445439804,1.0,1.0,1.0,15,0,0,3,V8_EXTRACTED,False
RFQ731-004930,5000,37.483356613754246,1.0,1.0,1.0,12,0,0,1,V8_EXTRACTED,False
RFQ731-004931,5000,42.67672812346659,1.0,1.0,1.0,15,0,0,3,V8_EXTRACTED,False
RFQ731-004932,5000,24.336329339319146,0.8482841989150766,1.0,0.8333333333333334,10,2,0,781,V8_EXTRACTED,False
RFQ731-004933,5000,17.26189411899141,0.7388675353310896,1.0,0.8571428571428571,12,2,0,12,V8_EXTRACTED,False
RFQ731-004934,5000,35.95918505459957,1.0,1.0,1.0,10,0,0,13,V8_EXTRACTED,False
RFQ731-004935,5000,48.27266529639004,1.0,1.0,1.0,17,0,0,1,V8_EXTRACTED,False
RFQ731-004936,5000,33.28028308705126,1.0,1.0,1.0,11,0,0,2,V8_EXTRACTED,False
RFQ731-004937,5000,40.74225048517077,1.0,1.0,1.0,14,0,0,1,V8_EXTRACTED,False
RFQ731-004938,5000,34.329694514377636,1.0,1.0,1.0,13,0,0,91,V8_EXTRACTED,False
