package,package_rule,characteristic,sample_size,distinct_states,dominant_state,dominant_count,support_rate,evidence_level
F731WD_SingleChannel,"in {NOVALUE, 'F731WD_SingleChannel'}",protectionArea,8,1,'N',8,1.0,strong_but_small_sample
F731WD_SingleChannel,"in {NOVALUE, 'F731WD_SingleChannel'}",certification,8,2,"in {'NN', 'WN', 'FN'}",4,0.5,weak
F731WD_SingleChannel,"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,8,3,'HS',4,0.5,weak
F731WD_SingleChannel,"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,8,2,'CS2',4,0.5,weak
F731WD_SingleChannel,"in {NOVALUE, 'F731WD_SingleChannel'}",stromEingaenge,8,2,"in {NOVALUE, 'IS1', 'IS2'}",4,0.5,weak
F731WD_SingleChannel,"in {NOVALUE, 'F731WD_SingleChannel'}",temperaturEingaenge,8,1,NOVALUE,8,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",devCategory,4,1,'G',4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",characteristic,4,1,'VG',4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",housing,4,1,"in {'ST', 'AL'}",4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",powerSupply,4,1,"in {'1', '4'}",4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",numberOfChannels,4,1,2,4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",explosionApproval,4,1,'F',4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",protectionArea,4,1,'2',4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",certification,4,1,'NN',4,1.0,strong_but_small_sample
G731VG,"in {NOVALUE, 'G731VG'}",dataInterface,4,2,"in {'NN', 'MT', 'MR'}",2,0.5,weak
G731VG,"in {NOVALUE, 'G731VG'}",stromSchaltbar,4,3,'CS2',2,0.5,weak
G731VG,"in {NOVALUE, 'G731VG'}",stromEingaenge,4,2,'IS1',2,0.5,weak
G731VG,"in {NOVALUE, 'G731VG'}",temperaturEingaenge,4,2,'TT1',2,0.5,weak
