characteristic_a,characteristic_b,package,package_sample_size,conditional_mutual_information,global_mutual_information
dataInterface,temperaturEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,0.09561946136037047,0.4446682020121959
dataInterface,temperaturEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,0.09561946136037047,0.4446682020121959
dataInterface,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.00899362286430172,0.20148794081178245
dataInterface,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731TE'}",26,0.25362161758926627,0.20148794081178245
dataInterface,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731CA'}",24,0.36266421530503035,0.20148794081178245
dataInterface,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-LT'}",133,0.008909838648037738,0.20148794081178245
dataInterface,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-HT'}",133,0.008909838648037738,0.20148794081178245
dataInterface,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731PW'}",20,1.3709505944546683,0.20148794081178245
dataInterface,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.00899362286430172,0.18433275135944793
dataInterface,binaerOpenColl_MP,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.5849625007211563,0.18433275135944793
dataInterface,binaerOpenColl_MP,"in {NOVALUE, 'F731TE'}",26,0.6299668749954281,0.18433275135944793
dataInterface,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.8274287729134877,0.18433275135944793
dataInterface,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,0.008909838648037738,0.18433275135944793
dataInterface,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,0.008909838648037738,0.18433275135944793
dataInterface,binaerOpenColl_MP,"in {NOVALUE, 'F731PW'}",20,0.9709505944546686,0.18433275135944793
dataInterface,waveInjector,"in {NOVALUE, 'x731'}",696,0.06315306313140656,0.20804298722252978
dataInterface,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.21645763172508392,0.1659651725229816
dataInterface,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.0661235679324248,0.07019519067651903
dataInterface,customUserFluid,"in {NOVALUE, 'x731'}",696,0.21645763172508392,0.28022760175000183
stromSchaltbar,stromEingaenge,"in {NOVALUE, 'x731'}",696,1.1236124651793848,1.0374912097227131
stromSchaltbar,stromEingaenge,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.792481250360578,1.0374912097227131
stromSchaltbar,stromEingaenge,"in {NOVALUE, 'G731CA'}",24,0.2516291673878229,1.0374912097227131
stromSchaltbar,stromEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,1.1407926481984605,1.0374912097227131
stromSchaltbar,stromEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,1.1407926481984605,1.0374912097227131
stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.869541239170742,0.9644060770183973
stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'F731TE'}",26,0.3076923076923077,0.9644060770183973
stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,0.9644060770183973
stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,0.8582628821852687,0.9644060770183973
stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,0.8582628821852687,0.9644060770183973
stromSchaltbar,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.0,0.17568347805207196
stromSchaltbar,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731TE'}",26,0.12013411808852803,0.17568347805207196
stromSchaltbar,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731CA'}",24,0.109170338675599,0.17568347805207196
stromSchaltbar,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.17568347805207196
stromSchaltbar,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.17568347805207196
stromSchaltbar,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731PW'}",20,1.2,0.17568347805207196
stromSchaltbar,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.0,0.24478295430256258
stromSchaltbar,binaerOpenColl_MP,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.9182958340544893,0.24478295430256258
