package_context,characteristic,observed_values,observed_value_count,rule_occurrences,source_rows
G731ST-LT,carryingCase,NOVALUE,1,133,133
G731ST-LT,certification,FN|NN|WN,3,133,133
G731ST-LT,characteristic,ST,1,133,133
G731ST-LT,customUserFluid,1|NOVALUE,2,133,133
G731ST-LT,dataInterface,BM|BT|DB|FF|HS|MR|MT|NN|PA,9,133,133
G731ST-LT,devCategory,G,1,133,133
G731ST-LT,dev_advMeterVerification,1|NOVALUE,2,133,133
G731ST-LT,dynamicGasMaster,NOVALUE,1,133,133
G731ST-LT,explosionApproval,A|E|F|J|K|N|P|S,8,133,133
G731ST-LT,frequenz0_5khzNamur,NOVALUE,1,133,133
G731ST-LT,frequenz0_5khz_FC,NOVALUE,1,133,133
G731ST-LT,frequenz0_5khz_FO,NOVALUE,1,133,133
G731ST-LT,frequenz5_15HzExia,NOVALUE,1,133,133
G731ST-LT,hardwareAP,NOVALUE,1,133,133
G731ST-LT,housing,AL|ST,2,133,133
G731ST-LT,inclusiveManual,QI,1,133,133
G731ST-LT,installationsart,stationaer,1,133,133
G731ST-LT,intrinsicSafety,N,1,133,133
G731ST-LT,marke,flexim,1,133,133
G731ST-LT,measuringTape,NOVALUE,1,133,133
G731ST-LT,numberOfChannels,1|2,2,133,133
G731ST-LT,packageFixed_dev,G731ST-LT|NOVALUE,2,133,133
G731ST-LT,powerCable,NOVALUE,1,133,133
G731ST-LT,powerSupply,1|4,2,133,133
G731ST-LT,protectionArea,2|N,2,133,133
G731ST-LT,spannung0_10v,NOVALUE,1,133,133
G731ST-LT,spannung0_1v,NOVALUE,1,133,133
G731ST-LT,spannungsEingaenge,NOVALUE,1,133,133
G731ST-LT,steamApplication,N,1,133,133
G731ST-LT,stromAktiv,NOVALUE,1,133,133
G731ST-LT,stromAktiv24,NOVALUE,1,133,133
G731ST-LT,stromEingaenge,IS1|IS2|IS3|IS4|NOVALUE,5,133,133
G731ST-LT,stromEingaengeExia,NOVALUE,1,133,133
G731ST-LT,stromEingaenge_passiv,NOVALUE,1,133,133
G731ST-LT,stromPassiv,NOVALUE,1,133,133
G731ST-LT,stromPassivExib,NOVALUE,1,133,133
G731ST-LT,stromSchaltbar,CS1|CS2|CS3|CS4|NOVALUE,5,133,133
G731ST-LT,tagPlate,1|NOVALUE,2,133,133
G731ST-LT,temperaturEingaenge,NOVALUE|TT1|TT2|TT3|TT4,5,133,133
G731ST-LT,temperaturEingaengeExi,NOVALUE,1,133,133
G731ST-LT,type,731,1,133,133
G731ST-LT,waveInjector,NOVALUE,1,133,133
G731VG,OrgUnitAreaOfDocument,3,1,4,4
G731VG,StromPassivExia,NOVALUE,1,4,4
G731VG,binaerDigitalOpenCollExia_MA,NOVALUE,1,4,4
G731VG,binaerDigitalOpenColl_MN,MN2|MN4,2,4,4
G731VG,binaerDigitalOptoRelay,NOVALUE,1,4,4
G731VG,binaerDigitalReedRelay,NOVALUE,1,4,4
G731VG,binaerEingaenge,NOVALUE,1,4,4
G731VG,binaerOpenColl30v,NOVALUE,1,4,4
G731VG,binaerOpenCollExib,NOVALUE,1,4,4
G731VG,binaerOpenCollNamur,NOVALUE,1,4,4
G731VG,binaerOpenColl_BC,NOVALUE,1,4,4
G731VG,binaerOpenColl_MP,NOVALUE,1,4,4
G731VG,binaerOpenColl_SC,NOVALUE,1,4,4
