regime,model,feature,importance,rank,abs_importance
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__NOVALUE,-0.0046,31,0.0046
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__1,0.0021333333333333,4,0.0021333333333333
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__ONE_CHARACTERISTIC,-0.0017333333333333,30,0.0017333333333333
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__1,0.0016666666666666,5,0.0016666666666666
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.0013999999999999,6,0.0013999999999999
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS1,0.0012666666666666,7,0.0012666666666666
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__TT1,-0.001,29,0.001
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__NOVALUE,0.0007333333333332,8,0.0007333333333332
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__NOVALUE,0.0006,9,0.0006
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__1,0.0006,10,0.0006
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP1,-0.0004666666666666,28,0.0004666666666666
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__NOVALUE,0.0003333333333332,11,0.0003333333333332
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__NOVALUE,0.0001333333333333,12,0.0001333333333333
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS2,6.666666666665932e-05,13,6.666666666665932e-05
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.0,14,0.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__LOW,0.0,15,0.0
