source_id,target_id,relation,provenance,source,source_row,characteristic
RULE_e201f0f8a3908b89,VAL_d723eea6e08b5602,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,powerCable
CHAR_d043830d01d04691,VAL_7af1c2f312e7c10e,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_7af1c2f312e7c10e,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,carryingCase
CHAR_26cb247bb6ef82ba,VAL_aa1b68c72a179664,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_aa1b68c72a179664,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,measuringTape
CHAR_1c3d2204797e2794,VAL_b47009407cab993d,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_b47009407cab993d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,dev_advMeterVerification
CHAR_caf36d64dfa3538d,VAL_5713f5cb5b195172,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_5713f5cb5b195172,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,dynamicGasMaster
CHAR_707b2674c83fa741,VAL_a86d399e188281bb,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_a86d399e188281bb,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,customUserFluid
PRODUCT_731,RULE_07f5fa1362dd29c3,HAS_RULE_ROW,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,
RULE_07f5fa1362dd29c3,VAL_e960a3e12805b44f,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,OrgUnitAreaOfDocument
RULE_07f5fa1362dd29c3,VAL_3c1402392fdf9063,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,marke
RULE_07f5fa1362dd29c3,VAL_72d9bd3f30e49bd0,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,packageFixed_dev
RULE_07f5fa1362dd29c3,FAMILY_8177acd68c91a9c4,RULE_APPLIES_TO_FAMILY,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,
RULE_07f5fa1362dd29c3,VAL_d9a9ed7deb43abb4,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,installationsart
RULE_07f5fa1362dd29c3,VAL_a18211ef12f115d6,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,devCategory
RULE_07f5fa1362dd29c3,VAL_d63a7323926a1147,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,type
RULE_07f5fa1362dd29c3,VAL_d00a50e0a7516c7a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,characteristic
RULE_07f5fa1362dd29c3,VAL_faa9d8774782e75a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,housing
RULE_07f5fa1362dd29c3,VAL_6852a7db852ad36a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,powerSupply
RULE_07f5fa1362dd29c3,VAL_18f7bcd5389f8b4d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,numberOfChannels
RULE_07f5fa1362dd29c3,VAL_43d4ee4dc051670b,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,explosionApproval
