regime,model,transformed_feature,importance,absolute_importance,importance_type
REALISTIC_BASELINE,RANDOM_FOREST,config_characteristic_ST,0.008153056527130349,0.008153056527130349,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dataInterface_PA,0.007792107205730799,0.007792107205730799,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_steamApplication_NOVALUE,0.007344030551737266,0.007344030551737266,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_binaerOpenColl_MP_MP4,0.006771994839957731,0.006771994839957731,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_devCategory_S,0.006597567978336999,0.006597567978336999,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_explosionApproval_F,0.006020337336952486,0.006020337336952486,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_temperaturEingaenge_TT2,0.005757220755678443,0.005757220755678443,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_explosionApproval_K,0.005694334142617647,0.005694334142617647,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_explosionApproval_A,0.005585773924421714,0.005585773924421714,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_characteristic_PW,0.0053243226026636606,0.0053243226026636606,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_numberOfChannels,0.005192600226839459,0.005192600226839459,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_characteristic_WD,0.005089995929168744,0.005089995929168744,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_characteristic_TE,0.004873151819554201,0.004873151819554201,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_protectionArea_N,0.004712253446796541,0.004712253446796541,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_protectionArea_2,0.004588377595504837,0.004588377595504837,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_explosionApproval_N,0.004506773676718729,0.004506773676718729,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_steamApplication_N,0.0037517959355046816,0.0037517959355046816,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_characteristic_CA,0.003713089070639072,0.003713089070639072,feature_importance
REALISTIC_BASELINE,RANDOM_FOREST,config_dataInterface_MT,0.0032742325947031094,0.0032742325947031094,feature_importance
