regime,model,base_feature,transformed_feature_count,total_absolute_importance,mean_absolute_importance,max_absolute_importance,importance_rank
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,preferred_total,1,0.213039345021599,0.213039345021599,0.213039345021599,60
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,num_changed_characteristics,1,0.206196960752525,0.206196960752525,0.206196960752525,61
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,low_change_score,1,0.2061969607525066,0.2061969607525066,0.2061969607525066,62
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_devCategory_F,1,0.1941513345278166,0.1941513345278166,0.1941513345278166,63
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_MN4,1,0.1713992339711462,0.1713992339711462,0.1713992339711462,64
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_protectionArea_2,1,0.1665852590885443,0.1665852590885443,0.1665852590885443,65
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_MP2,1,0.1663940234906936,0.1663940234906936,0.1663940234906936,66
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_explosionApproval_K,1,0.1502716796761852,0.1502716796761852,0.1502716796761852,67
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_characteristic_VG,1,0.1432848209755473,0.1432848209755473,0.1432848209755473,68
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,evidence_level_LOW,1,0.1297141459619319,0.1297141459619319,0.1297141459619319,69
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_MP1,1,0.1055257476337203,0.1055257476337203,0.1055257476337203,70
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,record_type_DERIVED,1,0.1049254714999383,0.1049254714999383,0.1049254714999383,71
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_characteristic_CA,1,0.0847830208665547,0.0847830208665547,0.0847830208665547,72
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_stromEingaenge_IS2,1,0.0840983683794078,0.0840983683794078,0.0840983683794078,73
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,evidence_score_normalized,1,0.0742896359918879,0.0742896359918879,0.0742896359918879,74
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,evidence_score,1,0.0742896359918853,0.0742896359918853,0.0742896359918853,75
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_stromSchaltbar_CS2,1,0.0627061704340607,0.0627061704340607,0.0627061704340607,76
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_NOVALUE,1,0.0573243794803386,0.0573243794803386,0.0573243794803386,77
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_protectionArea_N,1,0.036522792869525,0.036522792869525,0.036522792869525,78
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_explosionApproval_N,1,0.0365227928695215,0.0365227928695215,0.0365227928695215,79
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,generation_method_DEPENDENCY_TWO_CHARACTERISTIC,1,0.0124278512468865,0.0124278512468865,0.0124278512468865,80
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,source_frequency,1,0.07972910898484,0.07972910898484,0.07972910898484,1
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,source_frequency_score,1,0.066100656507454,0.066100656507454,0.066100656507454,2
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,evidence_score,1,0.0551822185972476,0.0551822185972476,0.0551822185972476,3
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,evidence_score_normalized,1,0.0391814507537035,0.0391814507537035,0.0391814507537035,4
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,unmentioned_features,1,0.036865553689665,0.036865553689665,0.036865553689665,5
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,evidence_level_OBSERVED,1,0.0345318542394671,0.0345318542394671,0.0345318542394671,6
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_stromSchaltbar_NOVALUE,1,0.0343732269499187,0.0343732269499187,0.0343732269499187,7
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_stromEingaenge_NOVALUE,1,0.0330782966928959,0.0330782966928959,0.0330782966928959,8
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,generation_method_REAL_OBSERVED,1,0.0297438304580553,0.0297438304580553,0.0297438304580553,9
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,observed_configuration_score,1,0.0296991255889822,0.0296991255889822,0.0296991255889822,10
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_stromEingaenge_IS1,1,0.0295876181665393,0.0295876181665393,0.0295876181665393,11
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,nearest_real_distance,1,0.0277491821165164,0.0277491821165164,0.0277491821165164,12
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,num_changed_characteristics,1,0.0268960035263764,0.0268960035263764,0.0268960035263764,13
