regime,model,feature,importance,rank
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.0007158811553186556,30
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerOpenColl_MP__MP1,0.000664748340151173,31
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_stromSchaltbar__CS2,0.0001243816355297092,32
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerOpenColl_MP__MP4,6.649733411726707e-05,33
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,4.7216571565032706e-05,34
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,2.524104172232295e-05,35
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__config_binaerOpenColl_MP__MP2,2.0980406219646854e-05,36
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.013599999999999945,1
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.013400000000000004,2
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__IS1,0.008399999999999963,3
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__1,0.0021333333333333204,4
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__1,0.0016666666666666312,5
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.001399999999999994,6
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS1,0.0012666666666666753,7
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__NOVALUE,0.0007333333333332895,8
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__NOVALUE,0.000600000000000008,9
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__1,0.000600000000000008,10
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__NOVALUE,0.0003333333333332966,11
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__NOVALUE,0.00013333333333331865,12
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS2,6.666666666665932e-05,13
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.0,14
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__LOW,0.0,15
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP2,0.0,16
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__REAL_OBSERVED,0.0,17
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP4,0.0,18
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.0,19
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.0,20
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__VERY_STRONG,0.0,21
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__STRONG,0.0,22
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__OBSERVED,0.0,23
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,0.0,24
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,0.0,25
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__record_type__DERIVED,0.0,26
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__record_type__OBSERVED,0.0,27
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP1,-0.00046666666666668927,28
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__TT1,-0.0010000000000000009,29
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__ONE_CHARACTERISTIC,-0.0017333333333333645,30
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__NOVALUE,-0.004600000000000011,31
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__evidence_score,-0.0070000000000000435,32
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__MODERATE,-0.008933333333333349,33
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__num_changed_characteristics,-0.011866666666666692,34
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__source_frequency,-0.01940000000000001,35
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,DIFF__nearest_real_distance,-0.03040000000000002,36
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,8.729980064558642,1
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__generation_method__ONE_CHARACTERISTIC,8.560699037153851,2
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__num_changed_characteristics,8.058595087575306,3
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__source_frequency,5.685990497402913,4
