replicate,top1,mrr,ndcg5
159,0.9289617486338798,0.9644808743169399,0.9737818950624533
160,0.9494535519125683,0.9740437158469946,0.9807976700698741
161,0.9439890710382514,0.9719945355191257,0.9793280326453959
162,0.9275956284153005,0.9631147540983607,0.9727305608583211
163,0.9371584699453552,0.967896174863388,0.9762599211383757
164,0.9480874316939891,0.9740437158469946,0.9808406156225621
165,0.930327868852459,0.9648224043715847,0.9740125194489703
166,0.9262295081967213,0.9627732240437158,0.9724999364718042
167,0.9480874316939891,0.9737021857923497,0.980567045683357
168,0.9316939890710383,0.9658469945355191,0.9747902837138974
169,0.9371584699453552,0.9685792349726776,0.9768070610167855
170,0.9371584699453552,0.9685792349726776,0.9768070610167855
171,0.9316939890710383,0.9655054644808743,0.9745167137746923
172,0.930327868852459,0.9651639344262295,0.9742860893881753
173,0.9357923497267759,0.9668715846994536,0.9754821568734486
174,0.9234972677595629,0.9614071038251366,0.9714915478203601
175,0.930327868852459,0.9648224043715847,0.9740125194489704
176,0.9385245901639344,0.9689207650273224,0.9770376854033027
177,0.9357923497267759,0.9672131147540983,0.9757557268126535
178,0.9426229508196722,0.9713114754098361,0.9788238383196738
179,0.924863387978142,0.962431693989071,0.9722693120852871
180,0.9412568306010929,0.9699453551912568,0.9777725041155416
181,0.9357923497267759,0.9675546448087432,0.9760292967518585
182,0.9344262295081968,0.9672131147540983,0.9757986723653415
183,0.9480874316939891,0.9740437158469946,0.9808406156225621
184,0.9508196721311475,0.9754098360655737,0.9818490042740061
185,0.9344262295081968,0.9668715846994536,0.9755251024261365
186,0.9193989071038251,0.9596994535519126,0.970252534782399
187,0.9357923497267759,0.967896174863388,0.9763028666910636
188,0.9467213114754098,0.9733606557377049,0.98033642129684
189,0.9412568306010929,0.9706284153005464,0.9783196439939517
190,0.9385245901639344,0.9689207650273224,0.9770376854033027
191,0.9494535519125683,0.9747267759562842,0.9813448099482841
192,0.9234972677595629,0.9617486338797814,0.9717651177595652
193,0.9275956284153005,0.9627732240437158,0.9724569909191163
194,0.9371584699453552,0.9685792349726776,0.9768070610167855
195,0.9385245901639344,0.9689207650273224,0.9770376854033027
196,0.9275956284153005,0.9627732240437158,0.9724569909191163
197,0.9344262295081968,0.9672131147540983,0.9757986723653415
198,0.9398907103825137,0.9699453551912568,0.9778154496682298
199,0.9275956284153005,0.9634562841530054,0.9730041307975262
200,0.9480874316939891,0.9740437158469946,0.9808406156225621
201,0.9412568306010929,0.9706284153005464,0.9783196439939517
202,0.9562841530054644,0.9781420765027322,0.9838657815768943
203,0.9439890710382514,0.9719945355191257,0.9793280326453959
204,0.9316939890710383,0.9648224043715847,0.9739695738962825
205,0.9453551912568307,0.9723360655737705,0.9795586570319129
206,0.9344262295081968,0.9668715846994536,0.9755251024261365
207,0.9426229508196722,0.9713114754098361,0.9788238383196738
208,0.930327868852459,0.9648224043715847,0.9740125194489703
209,0.9371584699453552,0.9682377049180327,0.9765334910775806
210,0.9453551912568307,0.9719945355191257,0.9792850870927079
211,0.930327868852459,0.9648224043715847,0.9740125194489704
212,0.9275956284153005,0.9637978142076503,0.9732777007367313
213,0.9262295081967213,0.962431693989071,0.9722263665325992
214,0.9275956284153005,0.9634562841530054,0.9730041307975262
215,0.912568306010929,0.9562841530054644,0.9677315631537886
216,0.9344262295081968,0.9672131147540983,0.9757986723653415
217,0.9357923497267759,0.9675546448087432,0.9760292967518585
218,0.9453551912568307,0.9723360655737705,0.9795586570319129
219,0.9234972677595629,0.960724043715847,0.97094440794195
220,0.9426229508196722,0.9713114754098361,0.9788238383196738
221,0.9562841530054644,0.9781420765027322,0.9838657815768943
222,0.9439890710382514,0.9713114754098361,0.9787808927669857
223,0.9262295081967213,0.9627732240437158,0.9724999364718042
224,0.9439890710382514,0.9713114754098361,0.9787808927669859
225,0.9234972677595629,0.9617486338797814,0.9717651177595652
226,0.9439890710382514,0.9719945355191257,0.9793280326453959
227,0.9426229508196722,0.9709699453551912,0.9785502683804689
